history_id,stock,change_date,change_type,field_changed,old_value,new_value,description,source
1,ADS.DE,1998-06-22,INDEX_ADD,index_membership,,DAX30,"Added to DAX, replacing Bayerische Hypotheken- und Wechselbank (merger formed HypoVereinsbank).",Wikipedia: DAX
2,BEI.DE,2008-12-22,INDEX_ADD,index_membership,,DAX30,Added to DAX (fast-exit replacement for Continental).,Wikipedia: DAX
3,BEI.DE,2021-03-22,INDEX_REMOVE,index_membership,DAX30,,Removed from DAX (inadequate market capitalisation); replaced by Siemens Energy. After dataset coverage window.,Wikipedia: DAX
4,BEI.DE,2021-10-29,INDEX_ADD,index_membership,,DAX30,"Re-added to DAX, replacing Deutsche Wohnen. After dataset coverage window.",Wikipedia: DAX
5,CON.DE,1996-09-23,INDEX_REMOVE,index_membership,DAX30,,Removed from DAX; replaced by Münchener Rück.,Wikipedia: DAX
6,CON.DE,2003-09-22,INDEX_ADD,index_membership,,DAX30,"Re-added to DAX (replaced MLP, inadequate free float/market cap).",Wikipedia: DAX
7,CON.DE,2008-12-22,INDEX_REMOVE,index_membership,DAX30,,"Removed from DAX (fast-exit, inadequate free-float market capitalisation); replaced by Beiersdorf.",Wikipedia: DAX
8,CON.DE,2012-09-24,INDEX_ADD,index_membership,,DAX30,"Re-added to DAX (replaced MAN, inadequate free-float capitalisation after VW acquisition of MAN). Continuous member through end of dataset window (2019-02-11).",Wikipedia: DAX
9,DB1.DE,2002-12-23,INDEX_ADD,index_membership,,DAX30,Added to DAX (fast-exit replacement for Epcos).,Wikipedia: DAX
10,DPW.DE,2001-03-19,INDEX_ADD,index_membership,,DAX30,"Added to DAX at IPO, replacing KarstadtQuelle.",Wikipedia: DAX
11,DTE.DE,1996-11-18,INDEX_ADD,index_membership,,DAX30,"Added to DAX at IPO, replacing Metallgesellschaft.",Wikipedia: DAX
12,EOAN.DE,2000-06-19,INDEX_ADD,index_membership,,DAX30,"Added to DAX; formed by Veba/Viag merger, replaced Veba.",Wikipedia: DAX
13,FME.DE,1999-09-20,INDEX_ADD,index_membership,,DAX30,"Added to DAX, replacing Hoechst (following Hoechst/Rhone-Poulenc/Aventis merger).",Wikipedia: DAX
14,FME.DE,2023-03-20,INDEX_REMOVE,index_membership,DAX30,,"Removed from DAX, replaced by Rheinmetall. After dataset coverage window.",Wikipedia: DAX
15,HEI.DE,2010-06-21,INDEX_ADD,index_membership,,DAX30,"Added to DAX, replacing Salzgitter (inadequate market capitalisation).",Wikipedia: DAX
16,IFX.DE,2000-06-19,INDEX_ADD,index_membership,,DAX30,Added to DAX (replaced VIAG in the Veba/Viag-E.ON merger reshuffle).,Wikipedia: DAX
17,IFX.DE,2009-09-21,INDEX_ADD,index_membership,,DAX30,"Re-added to DAX, replacing Hannover Re. Exact date of the intervening removal (circa 2003) not found in source.",Wikipedia: DAX
18,LHA.DE,2020-06-22,INDEX_REMOVE,index_membership,DAX30,,"Removed from DAX, replaced by Deutsche Wohnen. After dataset coverage window.",Wikipedia: DAX
19,LIN.DE,2023-02-27,INDEX_REMOVE,index_membership,DAX30,,Removed from DAX following delisting of Linde plc from the Frankfurt exchange. After dataset coverage window.,Wikipedia: DAX
20,MRK.DE,2007-06-18,INDEX_ADD,index_membership,,DAX30,"Added to DAX, replacing Altana (after Altana's sale of Nycomed reduced its market cap).",Wikipedia: DAX
21,MUV2.DE,1996-09-23,INDEX_ADD,index_membership,,DAX30,"Added to DAX, replacing Continental.",Wikipedia: DAX
22,SAP.DE,1995-09-18,INDEX_ADD,index_membership,,DAX30,"Added to DAX, replacing Deutsche Babcock (lower market capitalisation).",Wikipedia: DAX
23,TKA.DE,1999-03-25,INDEX_ADD,index_membership,,DAX30,"Added to DAX; formed by Thyssen/Krupp merger, replaced Thyssen.",Wikipedia: DAX
24,TKA.DE,2019-09-23,INDEX_REMOVE,index_membership,DAX30,,"Removed from DAX, replaced by MTU Aero Engines. After dataset coverage window.",Wikipedia: DAX
25,VNA.DE,2015-09-21,INDEX_ADD,index_membership,,DAX30,"Added to DAX, replacing Lanxess (inadequate market capitalisation).",Wikipedia: DAX
