symbol,security,sector,industry,source
ABF.L,Associated British Foods,Consumer Staples,Food Products,general_knowledge
ADM.L,Admiral Group,Financials,Insurance,general_knowledge
AHT.L,Ashtead Group,Industrials,Industrial/Equipment Rental,general_knowledge
ANTO.L,Antofagasta,Materials,Mining (Copper),general_knowledge
AUTO.L,Auto Trader Group,Communication Services,Internet/Online Classifieds,general_knowledge
AV.L,Aviva,Financials,Insurance,general_knowledge
AZN.L,AstraZeneca,Health Care,Pharmaceuticals,general_knowledge
BA.L,BAE Systems,Industrials,Aerospace & Defense,general_knowledge
BARC.L,Barclays,Financials,Banking,general_knowledge
BATS.L,British American Tobacco,Consumer Staples,Tobacco,general_knowledge
BDEV.L,Barratt Developments,Consumer Discretionary,Homebuilding,general_knowledge
BHP.L,BHP Group (BHP Billiton),Materials,Diversified Mining,general_knowledge
BKG.L,Berkeley Group Holdings,Consumer Discretionary,Homebuilding,general_knowledge
BLND.L,British Land Company,Real Estate,Diversified REIT,general_knowledge
BNZL.L,Bunzl,Industrials,Distribution,general_knowledge
BP.L,BP plc,Energy,Integrated Oil & Gas,general_knowledge
BRBY.L,Burberry Group,Consumer Discretionary,Apparel & Luxury Goods,general_knowledge
BT.A.L,BT Group,Communication Services,Telecommunications,general_knowledge
CCH.L,Coca-Cola HBC,Consumer Staples,Beverages,general_knowledge
CCL.L,Carnival Corporation,Consumer Discretionary,Cruise Lines,general_knowledge
CNA.L,Centrica,Utilities,Multi-Utilities,general_knowledge
CPG.L,Compass Group,Consumer Discretionary,Restaurants/Catering,general_knowledge
CRDA.L,Croda International,Materials,Specialty Chemicals,general_knowledge
CRH.L,CRH plc,Materials,Building Materials,general_knowledge
DCC.L,DCC plc,Industrials,Distribution,general_knowledge
DGE.L,Diageo,Consumer Staples,Beverages,general_knowledge
DLG.L,Direct Line Insurance Group,Financials,Insurance,general_knowledge
EVR.L,Evraz plc,Materials,Steel,general_knowledge
EXPN.L,Experian,Industrials,Business/Credit Information Services,general_knowledge
EZJ.L,easyJet,Industrials,Airlines,general_knowledge
FERG.L,Ferguson plc (formerly Wolseley),Industrials,Distribution,general_knowledge
FRES.L,Fresnillo plc,Materials,Precious Metals Mining (Silver/Gold),general_knowledge
GLEN.L,Glencore,Materials,Diversified Mining & Commodities Trading,general_knowledge
GSK.L,GlaxoSmithKline,Health Care,Pharmaceuticals,general_knowledge
GVC.L,GVC Holdings (now Entain),Consumer Discretionary,Gambling,general_knowledge
HIK.L,Hikma Pharmaceuticals,Health Care,Pharmaceuticals,general_knowledge
HL.L,Hargreaves Lansdown,Financials,Asset Management/Brokerage,general_knowledge
HLMA.L,Halma plc,Industrials,Safety & Health Technology,general_knowledge
HSBA.L,HSBC Holdings,Financials,Banking,general_knowledge
HSX.L,Hiscox Ltd,Financials,Insurance,general_knowledge
IAG.L,International Consolidated Airlines Group,Industrials,Airlines,general_knowledge
IHG.L,InterContinental Hotels Group,Consumer Discretionary,Hotels,general_knowledge
III.L,3i Group,Financials,Private Equity/Investment Trust,general_knowledge
IMB.L,Imperial Brands (Imperial Tobacco),Consumer Staples,Tobacco,general_knowledge
